zip_code,median_income
85001,149360
85002,182000
85003,165090
85004,319170
85005,192500
85006,334380
85007,267680
WWMC,170830
85009,217820
85010,219080
85011,267970
85012,162500
85013,215710
85014,321200
85015,85850
85016,169910
85017,296530
85018,85710
85019,120490
85020,126560
85021,163950
85022,89640
85023,162500
85024,320970
85025,162500
85026,365280
85027,357350
85028,193750
85029,176040
85030,235940
85031,199390
85032,189580
85033,625580
85034,331820
85035,168380
85036,340380
85037,100000
85038,261720
85039,233190
85040,335830
85041,189900
85042,113110
85043,137500
85044,341070
85045,159310
85046,217760
85048,165520
85050,210100
85051,190880
85053,262500
85054,133330
85055,216300
85060,187930
85061,145830
85062,197500
85063,199110
85064,224170
85065,235710
85066,206250
85067,253910
85068,171590
85069,240630
85070,152170
85071,173500
85072,153720
85073,435230
85074,194640
85075,300910
85076,127500
85077,543490
85078,325930
85079,256640
85080,211360
85082,163510
85085,120830
85086,280250
85087,381770
85098,159870
85099,219790
85201,138820
85202,117070
85203,133730
85204,306030
85205,461540
85206,315970
85207,448210
85208,323960
85209,174110
85210,195310
85211,352820
85212,187500
85213,360420
85214,627150
85215,430210
85216,318270
85217,447500
85218,365970
85219,166350
85220,578430
85221,487500
