zip_code,city,state,county
85001,Phoenix,AZ,Maricopa
85002,Phoenix,AZ,Maricopa
85003,Phoenix,AZ,Maricopa
85004,Phoenix,AZ,Maricopa
85005,Phoenix,AZ,Maricopa
85006,Phoenix,AZ,Maricopa
85007,Phoenix,AZ,Maricopa
85009,Phoenix,AZ,Maricopa
85010,Phoenix,AZ,Maricopa
85011,Phoenix,AZ,Maricopa
85012,Phoenix,AZ,Maricopa
85013,Phoenix,AZ,Maricopa
85014,Phoenix,AZ,Maricopa
85015,Phoenix,AZ,Maricopa
85016,Phoenix,AZ,Maricopa
85017,Phoenix,AZ,Maricopa
85018,Phoenix,AZ,Maricopa
85019,Phoenix,AZ,Maricopa
85020,Phoenix,AZ,Maricopa
85021,Phoenix,AZ,Maricopa
85022,Phoenix,AZ,Maricopa
85023,Phoenix,AZ,Maricopa
85024,Phoenix,AZ,Maricopa
85025,Phoenix,AZ,Maricopa
85026,Phoenix,AZ,Maricopa
85027,Phoenix,AZ,Maricopa
85028,Phoenix,AZ,Maricopa
85029,Phoenix,AZ,Maricopa
85030,Phoenix,AZ,Maricopa
85031,Phoenix,AZ,Maricopa
85032,Phoenix,AZ,Maricopa
85033,Phoenix,AZ,Maricopa
85034,Phoenix,AZ,Maricopa
85035,Phoenix,AZ,Maricopa
ABCD,Phoenix,AZ,Maricopa
85037,Phoenix,AZ,Maricopa
85038,Phoenix,AZ,Maricopa
85039,Phoenix,AZ,Maricopa
85040,Phoenix,AZ,Maricopa
85041,Phoenix,AZ,Maricopa
85042,Phoenix,AZ,Maricopa
85043,Phoenix,AZ,Maricopa
85044,Phoenix,AZ,Maricopa
85045,Phoenix,AZ,Maricopa
85046,Phoenix,AZ,Maricopa
85048,Phoenix,AZ,Maricopa
85050,Phoenix,AZ,Maricopa
85051,Phoenix,AZ,Maricopa
85053,Phoenix,AZ,Maricopa
85054,Phoenix,AZ,Maricopa
85055,Phoenix,AZ,Maricopa
85060,Phoenix,AZ,Maricopa
85061,Phoenix,AZ,Maricopa
85062,Phoenix,AZ,Maricopa
85063,Phoenix,AZ,Maricopa
85064,Phoenix,AZ,Maricopa
85065,Phoenix,AZ,Maricopa
85066,Phoenix,AZ,Maricopa
85067,Phoenix,AZ,Maricopa
85068,Phoenix,AZ,Maricopa
85069,Phoenix,AZ,Maricopa
85070,Phoenix,AZ,Maricopa
85071,Phoenix,AZ,Maricopa
85072,Phoenix,AZ,Maricopa
85073,Phoenix,AZ,Maricopa
85074,Phoenix,AZ,Maricopa
85075,Phoenix,AZ,Maricopa
85076,Phoenix,AZ,Maricopa
85077,Phoenix,AZ,Maricopa
85078,Phoenix,AZ,Maricopa
85079,Phoenix,AZ,Maricopa
85080,Phoenix,AZ,Maricopa
85082,Phoenix,AZ,Maricopa
85085,Phoenix,AZ,Maricopa
85086,Phoenix,AZ,Maricopa
85087,New,River,AZ,Maricopa
85098,Phoenix,AZ,Maricopa
85099,Phoenix,AZ,Maricopa
85201,Mesa,AZ,Maricopa
85202,Mesa,AZ,Maricopa
85203,Mesa,AZ,Maricopa
85204,Mesa,AZ,Maricopa
85205,Mesa,AZ,Maricopa
85206,Mesa,AZ,Maricopa
85207,Mesa,AZ,Maricopa
85208,Mesa,AZ,Maricopa
85209,Mesa,AZ,Maricopa
85210,Mesa,AZ,Maricopa
85211,Mesa,AZ,Maricopa
85212,Mesa,AZ,Maricopa
85213,Mesa,AZ,Maricopa
85214,Mesa,AZ,Maricopa
85215,Mesa,AZ,Maricopa
85216,Mesa,AZ,Maricopa
85217,Apache,Junction,AZ,Pinal
85218,Apache,Junction,AZ,Pinal
85219,Apache,Junction,AZ,Pinal
85220,Apache,Junction,AZ,Pinal
85221,Bapchule,AZ,Pinal
